INDEX,HSA_CODE,HSA_NAME,HSA_NAME_FORMATTED,ZONE_CODE,ZONE_NAME,FY,INC_RT,MET
151,HSA2.6.C,CALGARY RURAL - NORTH,Calgary Rural - North,Z2,CALGARY,2016,53.8,yes
152,HSA2.6.C,CALGARY RURAL - NORTH,Calgary Rural - North,Z2,CALGARY,2017,51.5,yes
153,HSA2.6.C,CALGARY RURAL - NORTH,Calgary Rural - North,Z2,CALGARY,2018,40.8,yes
154,HSA2.6.C,CALGARY RURAL - NORTH,Calgary Rural - North,Z2,CALGARY,2019,43.7,yes
155,HSA2.6.C,CALGARY RURAL - NORTH,Calgary Rural - North,Z2,CALGARY,2020,49.8,yes
156,HSA2.6.C,CALGARY RURAL - NORTH,Calgary Rural - North,Z2,CALGARY,All,47.9,yes
157,HSA2.7.A,CALGARY RURAL - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2016,55.1,yes
158,HSA2.7.A,CALGARY RURAL - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2017,46.2,yes
159,HSA2.7.A,CALGARY RURAL - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2018,55.4,yes
160,HSA2.7.A,CALGARY RURAL - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2019,49.8,yes
161,HSA2.7.A,CALGARY RURAL - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2020,64.7,yes
162,HSA2.7.A,CALGARY RURAL - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,All,54.4,yes
163,HSA2.7.B,CALGARY RURAL - WEST,Calgary Rural - West,Z2,CALGARY,2016,0,yes
164,HSA2.7.B,CALGARY RURAL - WEST,Calgary Rural - West,Z2,CALGARY,2017,45.4,yes
165,HSA2.7.B,CALGARY RURAL - WEST,Calgary Rural - West,Z2,CALGARY,2018,34.9,yes
166,HSA2.7.B,CALGARY RURAL - WEST,Calgary Rural - West,Z2,CALGARY,2019,39.6,yes
167,HSA2.7.B,CALGARY RURAL - WEST,Calgary Rural - West,Z2,CALGARY,2020,31.9,yes
168,HSA2.7.B,CALGARY RURAL - WEST,Calgary Rural - West,Z2,CALGARY,All,34.1,yes
169,HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2016,0,no
170,HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2017,25.4,no
171,HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2018,25.4,no
172,HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2019,0,no
173,HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2020,0,no
174,HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,All,22.8,no
175,HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2016,25.7,no
176,HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2017,17.6,no
177,HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2018,28.4,no
178,HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2019,28.1,no
179,HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2020,37.5,no
180,HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,All,27.6,no
181,HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2016,39.4,no
182,HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2017,24.2,no
183,HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2018,26.6,no
184,HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2019,24.4,no
185,HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2020,42.4,no
186,HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,All,31.4,no
187,HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2016,36.5,no
188,HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2017,25.2,no
189,HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2018,31.5,no
190,HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2019,28.9,no
191,HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2020,28.8,no
192,HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,All,30.2,no
193,HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2016,16.6,no
194,HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2017,27.2,no
195,HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2018,37.7,no
196,HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2019,30.1,no
197,HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2020,48,no
198,HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,All,32,no
199,HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2016,33.6,no
200,HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2017,33.6,no
201,HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2018,26.7,no
202,HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2019,38,no
203,HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2020,44.2,no
204,HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,All,35.3,no
205,HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2016,26.7,no
206,HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2017,29.9,no
207,HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2018,0,no
208,HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2019,29.6,no
209,HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2020,42.6,no
210,HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,All,30.1,no
