ZONE_CODE,ZONE_NAME,FY,AGE_CAT,GENDER,INC_RT,lower95,upper95
Z5,NORTH,All,0 to 18,M,24.8,19.1,30.4
Z5,NORTH,All,18 to 64,F,33.8,29.7,38.0
Z5,NORTH,All,18 to 64,M,15.8,13.1,18.5
Z5,NORTH,All,65 and over,F,19.9,12.1,27.7
Z5,NORTH,All,65 and over,M,8.1,3.1,13.2
Z1,SOUTH,2016,0 to 18,F,41.0,19.5,62.5
Z1,SOUTH,2016,0 to 18,M,25.0,8.7,41.4
Z1,SOUTH,2016,18 to 64,F,33.9,22.0,45.9
Z1,SOUTH,2016,18 to 64,M,12.6,5.5,19.7
Z1,SOUTH,2016,65 and over,F,4.1,0.0,12.1
Z1,SOUTH,2016,65 and over,M,4.9,0.0,14.4
Z1,SOUTH,2017,0 to 18,F,58.3,32.7,83.8
Z1,SOUTH,2017,0 to 18,M,22.1,6.8,37.4
Z1,SOUTH,2017,18 to 64,F,49.0,34.7,63.3
Z1,SOUTH,2017,18 to 64,M,19.9,10.9,28.8
Z1,SOUTH,2017,65 and over,F,4.0,0.0,11.7
Z1,SOUTH,2017,65 and over,M,14.1,0.0,30.1
Z1,SOUTH,2018,0 to 18,F,95.8,63.1,128.6
Z1,SOUTH,2018,0 to 18,M,33.0,14.3,51.7
Z1,SOUTH,2018,18 to 64,F,39.1,26.3,51.9
Z1,SOUTH,2018,18 to 64,M,26.2,15.9,36.4
Z1,SOUTH,2018,65 and over,F,11.5,0.0,24.6
Z1,SOUTH,2018,65 and over,M,4.5,0.0,13.4
Z1,SOUTH,2019,0 to 18,F,55.2,30.4,80.0
Z1,SOUTH,2019,0 to 18,M,54.8,30.8,78.9
Z1,SOUTH,2019,18 to 64,F,66.2,49.6,82.8
Z1,SOUTH,2019,18 to 64,M,17.8,9.3,26.3
Z1,SOUTH,2019,65 and over,F,11.2,0.0,23.8
Z1,SOUTH,2019,65 and over,M,8.7,0.0,20.9
Z1,SOUTH,2020,0 to 18,F,75.3,46.4,104.3
Z1,SOUTH,2020,0 to 18,M,35.5,16.2,54.8
Z1,SOUTH,2020,18 to 64,F,48.8,34.5,63.1
Z1,SOUTH,2020,18 to 64,M,28.3,17.6,39.0
Z1,SOUTH,2020,65 and over,F,10.7,0.0,22.9
Z1,SOUTH,2020,65 and over,M,12.7,0.0,27.0
Z2,CALGARY,2016,0 to 18,F,51.0,40.1,61.8
Z2,CALGARY,2016,0 to 18,M,34.0,25.4,42.6
Z2,CALGARY,2016,18 to 64,F,46.0,40.2,51.8
Z2,CALGARY,2016,18 to 64,M,25.6,21.4,29.8
Z2,CALGARY,2016,65 and over,F,22.8,13.3,32.4
Z2,CALGARY,2016,65 and over,M,14.7,6.4,23.0
Z2,CALGARY,2017,0 to 18,F,53.0,42.1,64.0
Z2,CALGARY,2017,0 to 18,M,30.1,22.0,38.1
Z2,CALGARY,2017,18 to 64,F,49.9,43.9,55.9
Z2,CALGARY,2017,18 to 64,M,24.7,20.6,28.8
Z2,CALGARY,2017,65 and over,F,23.7,14.2,33.2
Z2,CALGARY,2017,65 and over,M,12.8,5.2,20.3
Z2,CALGARY,2018,0 to 18,F,47.6,37.3,57.9
Z2,CALGARY,2018,0 to 18,M,37.2,28.4,46.1
Z2,CALGARY,2018,18 to 64,F,40.1,34.8,45.5
Z2,CALGARY,2018,18 to 64,M,27.8,23.5,32.2
Z2,CALGARY,2018,65 and over,F,14.1,7.0,21.2
Z2,CALGARY,2018,65 and over,M,19.8,10.6,28.9
Z2,CALGARY,2019,0 to 18,F,72.1,59.5,84.7
Z2,CALGARY,2019,0 to 18,M,31.8,23.7,40.0
Z2,CALGARY,2019,18 to 64,F,50.7,44.8,56.7
Z2,CALGARY,2019,18 to 64,M,26.0,21.8,30.2
Z2,CALGARY,2019,65 and over,F,26.8,17.2,36.4
Z2,CALGARY,2019,65 and over,M,17.7,9.3,26.1
Z2,CALGARY,2020,0 to 18,F,87.5,73.7,101.2
Z2,CALGARY,2020,0 to 18,M,47.3,37.5,57.2
Z2,CALGARY,2020,18 to 64,F,56.3,50.0,62.5
Z2,CALGARY,2020,18 to 64,M,31.9,27.2,36.5
Z2,CALGARY,2020,65 and over,F,23.8,15.0,32.6
Z2,CALGARY,2020,65 and over,M,12.7,5.8,19.7
Z3,CENTRAL,2016,0 to 18,F,46.8,28.1,65.5
Z3,CENTRAL,2016,0 to 18,M,24.0,11.0,37.1
Z3,CENTRAL,2016,18 to 64,F,40.2,30.0,50.5
Z3,CENTRAL,2016,18 to 64,M,23.3,15.7,30.9
Z3,CENTRAL,2016,65 and over,F,18.9,4.9,33.0
Z3,CENTRAL,2016,65 and over,M,18.6,3.7,33.5
Z3,CENTRAL,2017,0 to 18,F,41.0,23.5,58.6
Z3,CENTRAL,2017,0 to 18,M,29.6,15.1,44.2
Z3,CENTRAL,2017,18 to 64,F,30.1,21.2,39.0
Z3,CENTRAL,2017,18 to 64,M,16.9,10.4,23.4
Z3,CENTRAL,2017,65 and over,F,28.9,11.8,45.9
Z3,CENTRAL,2017,65 and over,M,21.1,5.5,36.6
Z3,CENTRAL,2018,0 to 18,F,54.8,34.5,75.1
Z3,CENTRAL,2018,0 to 18,M,20.4,8.3,32.4
Z3,CENTRAL,2018,18 to 64,F,36.9,27.0,46.7
Z3,CENTRAL,2018,18 to 64,M,22.2,14.7,29.6
Z3,CENTRAL,2018,65 and over,F,15.2,3.0,27.4
Z3,CENTRAL,2018,65 and over,M,17.4,3.5,31.4
Z3,CENTRAL,2019,0 to 18,F,58.6,37.6,79.6
Z3,CENTRAL,2019,0 to 18,M,18.5,7.0,30.0
Z3,CENTRAL,2019,18 to 64,F,40.3,30.0,50.6
Z3,CENTRAL,2019,18 to 64,M,18.3,11.5,25.0
Z3,CENTRAL,2019,65 and over,F,12.3,1.5,23.0
Z3,CENTRAL,2019,65 and over,M,5.6,0.0,13.4
Z3,CENTRAL,2020,0 to 18,F,62.4,40.8,84.0
Z3,CENTRAL,2020,0 to 18,M,35.1,19.3,50.9
Z3,CENTRAL,2020,18 to 64,F,40.3,30.0,50.6
Z3,CENTRAL,2020,18 to 64,M,30.7,21.9,39.4
Z3,CENTRAL,2020,65 and over,F,21.2,7.4,35.1
Z3,CENTRAL,2020,65 and over,M,24.2,8.4,40.1
Z4,EDMONTON,2016,0 to 18,F,53.5,41.3,65.7
Z4,EDMONTON,2016,0 to 18,M,29.6,20.7,38.4
Z4,EDMONTON,2016,18 to 64,F,42.7,36.6,48.8
Z4,EDMONTON,2016,18 to 64,M,20.4,16.3,24.5
Z4,EDMONTON,2016,65 and over,F,26.9,16.1,37.7
Z4,EDMONTON,2016,65 and over,M,20.4,10.1,30.7
Z4,EDMONTON,2017,0 to 18,F,52.7,40.8,64.7
Z4,EDMONTON,2017,0 to 18,M,38.2,28.3,48.2
Z4,EDMONTON,2017,18 to 64,F,47.0,40.7,53.4
Z4,EDMONTON,2017,18 to 64,M,23.7,19.3,28.1
Z4,EDMONTON,2017,65 and over,F,15.1,7.2,22.9
Z4,EDMONTON,2017,65 and over,M,15.6,6.8,24.4
Z4,EDMONTON,2018,0 to 18,F,73.0,59.1,86.9
Z4,EDMONTON,2018,0 to 18,M,38.8,28.9,48.7
Z4,EDMONTON,2018,18 to 64,F,50.3,43.7,56.8
Z4,EDMONTON,2018,18 to 64,M,20.5,16.4,24.6
Z4,EDMONTON,2018,65 and over,F,18.6,10.0,27.2
Z4,EDMONTON,2018,65 and over,M,14.9,6.5,23.3
Z4,EDMONTON,2019,0 to 18,F,70.4,56.9,83.9
Z4,EDMONTON,2019,0 to 18,M,38.1,28.4,47.8
Z4,EDMONTON,2019,18 to 64,F,49.3,42.8,55.7
Z4,EDMONTON,2019,18 to 64,M,27.1,22.4,31.8
Z4,EDMONTON,2019,65 and over,F,27.7,17.5,38.0
Z4,EDMONTON,2019,65 and over,M,16.6,7.9,25.3
Z4,EDMONTON,2020,0 to 18,F,70.6,57.1,84.0
Z4,EDMONTON,2020,0 to 18,M,41.9,31.8,52.0
Z4,EDMONTON,2020,18 to 64,F,51.1,44.5,57.6
Z4,EDMONTON,2020,18 to 64,M,26.1,21.5,30.6
Z4,EDMONTON,2020,65 and over,F,19.0,10.7,27.3
Z4,EDMONTON,2020,65 and over,M,22.6,12.7,32.5
Z5,NORTH,2016,0 to 18,F,44.0,26.7,61.2
Z5,NORTH,2016,0 to 18,M,20.1,8.7,31.4
Z5,NORTH,2016,18 to 64,F,25.9,17.8,34.0
Z5,NORTH,2016,18 to 64,M,17.1,10.9,23.3
Z5,NORTH,2016,65 and over,F,12.8,0.0,27.4
Z5,NORTH,2016,65 and over,M,13.3,0.0,28.3
Z5,NORTH,2017,0 to 18,F,38.8,22.6,55.0
Z5,NORTH,2017,0 to 18,M,30.1,16.2,44.0
Z5,NORTH,2017,18 to 64,F,38.2,28.3,48.1
Z5,NORTH,2017,18 to 64,M,12.6,7.2,17.9
Z5,NORTH,2017,65 and over,F,20.8,2.6,39.0
Z5,NORTH,2017,65 and over,M,4.3,0.0,12.6
Z5,NORTH,2018,0 to 18,F,37.1,21.2,52.9
Z5,NORTH,2018,0 to 18,M,23.4,11.2,35.7
Z5,NORTH,2018,18 to 64,F,37.5,27.7,47.4
Z5,NORTH,2018,18 to 64,M,15.0,9.1,20.9
Z5,NORTH,2018,65 and over,F,20.0,2.5,37.6
Z5,NORTH,2018,65 and over,M,4.1,0.0,12.1
Z5,NORTH,2019,0 to 18,F,42.3,25.4,59.2
Z5,NORTH,2019,0 to 18,M,20.1,8.7,31.5
Z5,NORTH,2019,18 to 64,F,38.2,28.3,48.1
Z5,NORTH,2019,18 to 64,M,15.0,9.1,20.9
Z5,NORTH,2019,65 and over,F,26.9,7.0,46.9
Z5,NORTH,2019,65 and over,M,7.8,0.0,18.7
Z5,NORTH,2020,0 to 18,F,70.4,48.6,92.2
Z5,NORTH,2020,0 to 18,M,30.1,16.2,44.0
Z5,NORTH,2020,18 to 64,F,29.4,20.7,38.1
Z5,NORTH,2020,18 to 64,M,19.2,12.5,25.8
Z5,NORTH,2020,65 and over,F,18.5,2.3,34.6
Z5,NORTH,2020,65 and over,M,11.2,0.0,23.9
