index,country,name,hosp_type,disease_type,year_rate,rate,AAPC,direction,popup,appendixF_popup
15,Czech Republic,Czech Rep.,prim,CD,2015,36.72,3.69,increase,"<p style=""""font-size: 125%"""">Data on CD hospitalizations come from <a href='https://www.csgh.info/cs/intro' target='_blank'>Jarkovsky 2017</a>, which provides rates for primary discharges spanning 2007–2015. In 2015, the hospitalization rate for CD was 36.72/100,000, which had significantly increased from 30.65/100,000 in 2007 (AAPC: 3.69; 95% CI: 2.48, 4.92).</p>",
15,Czech Republic,Czech Rep.,prim,UC,2015,17.11,0.27,stable,"<p style=""""font-size: 125%"""">Data on UC hospitalizations come from <a href='https://www.csgh.info/cs/intro' target='_blank'>Jarkovsky 2017</a>, which provides rates for primary discharges spanning 2007–2015. In 2015, the hospitalization rate for UC was 17.11/100,000, which had not significantly changed from 17.46/100,000 in 2007 (AACP: 0.27; 95% CI: -0.61, 1.15).</p>",
16,Denmark,Denmark,prim,IBD,2016,54.4,-1.02,decrease,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from the OECD (<a href='https://www.sciencedirect.com/science/article/abs/pii/S2468125319300135?via%3Dihub' target='_blank'>King 2019</a>), which provides rates for primary discharges spanning 2001–2016. In 2016, the hospitalization rate for IBD was 54.4/100,000, which had significantly decreased from 63.8/100,000 in 2001 (AAPC: −1.02; 95% CI: −1.74, −0.29).</p>",
16,Denmark,Denmark,prim,CD,2000,43.4,,,"<p style=""""font-size: 125%"""">Insufficient data were available to conduct a temporal analysis on hospitalization rates for CD; however, in 2000, the primary discharge rate for CD was estimated at 43.4/100,000 (<a href='https://academic.oup.com/ibdjournal/article/16/3/452/4628301?login=true' target='_blank'>Sonnenberg 2010</a>).</p>",
16,Denmark,Denmark,prim,UC,2000,41.2,,,"<p style=""""font-size: 125%"""">Insufficient data were available to conduct a temporal analysis on hospitalization rates for UC; however, in 2000, the primary discharge rate for UC was estimated at 41.2/100,000 (<a href='https://academic.oup.com/ibdjournal/article/16/3/452/4628301?login=true' target='_blank'>Sonnenberg 2010</a>).</p>",
17,England,England,prim,CD,2000,41.6,,,"<p style=""""font-size: 125%""""><a href='https://academic.oup.com/ibdjournal/article/16/3/452/4628301?login=true' target='_blank'>Sonnenberg 2010b</a> reported a primary diagnosis rate of 41.6/100,000 in 2000 while <a href='https://academic.oup.com/ibdjournal/article/15/2/206/4643459?login=true' target='_blank'>Sonnenberg 2009</a> reported a primary diagnosis rate of 38.0/100,000 in the same year.</p>",
17,England,England,prim,UC,2000,46.9,,,"<p style=""""font-size: 125%""""><a href='https://academic.oup.com/ibdjournal/article/16/3/452/4628301?login=true' target='_blank'>Sonnenberg 2010b</a> reported a primary diagnosis rate of 46.9/100,000 in 2000 while <a href='https://academic.oup.com/ibdjournal/article/15/2/206/4643459?login=true' target='_blank'>Sonnenberg 2009</a> reported a primary diagnosis rate of 39.0/100,000 in the same year.</p>",
17,England,England,all,IBD,2003,30.81,,,"<p style=""""font-size: 125%"""">Insufficient data were available to conduct a temporal analysis on hospitalization rates for IBD; however, in 2002, the IBD hospitalization rate for secondary discharges was estimated at 53.47/100,000 (<a href='https://academic.oup.com/ibdjournal/article/15/2/206/4643459?login=true' target='_blank'>Sonnenberg 2009</a>) and at 30.81/100,000 in 2003 (<a href='https://journals.lww.com/eurojgh/Fulltext/2010/01000/Temporal_changes_in_the_age_distribution_of.14.aspx' target='_blank'>Sonnenberg 2010a</a>).</p>",
17,England,England,all,CD,2013,202.9,11.93,increase,"<p style=""""font-size: 125%"""">Data on CD hospitalizations come from <a href='https://bmjopengastro.bmj.com/content/5/1/e000191' target='_blank'>Ahmad 2018</a>, which provides rates for secondary hospitalization discharges spanning 2003–2013. In 2013, the CD hospitalization rate was 202.9/100,000, which had significantly increased from 76.5/100,000 in 2004 (AAPC: 11.93; 95% CI: 11.25, 12.60). <a href='https://academic.oup.com/ibdjournal/article/15/2/206/4643459?login=true' target='_blank'>Sonnenberg 2009</a> also reported an all cause hospitalization rate of 23.65/100,000 in 2002 and <a href='https://journals.lww.com/eurojgh/Fulltext/2010/01000/Temporal_changes_in_the_age_distribution_of.14.aspx' target='_blank'>Sonnenberg 2010a</a> a rate of 16.45/100,000 in 2003.</p>",
17,England,England,all,UC,2013,149.5,9.25,increase,"<p style=""""font-size: 125%"""">Data on UC hospitalizations come from <a href='https://bmjopengastro.bmj.com/content/5/1/e000191' target='_blank'>Ahmad 2018</a>, which provides rates for secondary hospitalization discharges spanning 2003–2013. In 2013, the UC hospitalization rate was 149.5/100,000, which had significantly increased from 69.5/100,000 in 2004 (AAPC: 9.25; 95% CI: 8.78, 9.73). Additional studies had insufficient data to conduct a temportal analysis on hospitalization rates for UC. <a href='https://academic.oup.com/ibdjournal/article/15/2/206/4643459?login=true' target='_blank'>Sonnenberg 2009</a> also reported an all secondary diagnosis hospitalization rate of 29.83/100,000 in 2002 and <a href='https://journals.lww.com/eurojgh/Fulltext/2010/01000/Temporal_changes_in_the_age_distribution_of.14.aspx' target='_blank'>Sonnenberg 2010a</a> a rate of 14.36/100,000 in 2003.</p>",
